ChEMBL_Drug_ID,ChEMBL_Target_ID,Interaction_Type,PubChem_CID,Receptor_Name
CHEMBL1155200,CHEMBL1155201,Binding/Inhibitor,CID_619,Endothelin-1 receptor
CHEMBL1157552,CHEMBL1157553,Binding/Inhibitor,CID_620,EGFR Kinase
CHEMBL1156307,CHEMBL1156308,Binding/Inhibitor,CID_621,Histamine H2 receptor
CHEMBL1177768,CHEMBL1177769,Binding/Inhibitor,CID_622,Beta-2 adrenergic receptor
CHEMBL1240315,CHEMBL1240316,Binding/Inhibitor,CID_623,D(1B) dopamine receptor
CHEMBL1268868,CHEMBL1268869,Binding/Inhibitor,CID_624,Endothelin-1 receptor
CHEMBL1629539,CHEMBL1629540,Binding/Inhibitor,CID_625,EGFR Kinase
CHEMBL1649253,CHEMBL1649254,Binding/Inhibitor,CID_626,Histamine H2 receptor
CHEMBL1687752,CHEMBL1687753,Binding/Inhibitor,CID_627,Beta-2 adrenergic receptor
CHEMBL1777667,CHEMBL1777731,Binding/Inhibitor,CID_628,D(1B) dopamine receptor
CHEMBL1817651,CHEMBL1817652,Binding/Inhibitor,CID_629,Endothelin-1 receptor
CHEMBL1914385,CHEMBL1914361,Binding/Inhibitor,CID_630,EGFR Kinase
CHEMBL1949610,CHEMBL1949600,Binding/Inhibitor,CID_631,Histamine H2 receptor
CHEMBL2029326,CHEMBL2029303,Binding/Inhibitor,CID_632,Beta-2 adrenergic receptor
CHEMBL2069239,CHEMBL2069258,Binding/Inhibitor,CID_633,D(1B) dopamine receptor
CHEMBL2074132,CHEMBL2074308,Binding/Inhibitor,CID_634,Endothelin-1 receptor
CHEMBL2150977,CHEMBL2150889,Binding/Inhibitor,CID_635,EGFR Kinase
CHEMBL2177070,CHEMBL2176871,Binding/Inhibitor,CID_636,Histamine H2 receptor
CHEMBL3045526,CHEMBL3045504,Binding/Inhibitor,CID_637,Beta-2 adrenergic receptor
CHEMBL3046949,CHEMBL3046107,Binding/Inhibitor,CID_640,D(1B) dopamine receptor
CHEMBL2331307,CHEMBL2331470,Binding/Inhibitor,CID_641,Endothelin-1 receptor
CHEMBL2390866,CHEMBL2390845,Binding/Inhibitor,CID_642,EGFR Kinase
CHEMBL2417546,CHEMBL2417396,Binding/Inhibitor,CID_643,Histamine H2 receptor
CHEMBL3091445,CHEMBL3091460,Binding/Inhibitor,CID_647,Beta-2 adrenergic receptor
CHEMBL3120116,CHEMBL3120144,Binding/Inhibitor,CID_648,D(1B) dopamine receptor
CHEMBL3244304,CHEMBL3244195,Binding/Inhibitor,CID_649,Endothelin-1 receptor
CHEMBL3272011,CHEMBL3272128,Binding/Inhibitor,CID_650,EGFR Kinase
CHEMBL3352552,CHEMBL3352529,Binding/Inhibitor,CID_652,Histamine H2 receptor
CHEMBL3351529,CHEMBL3352384,Binding/Inhibitor,CID_654,Beta-2 adrenergic receptor
CHEMBL3400076,CHEMBL3400012,Binding/Inhibitor,CID_655,D(1B) dopamine receptor
CHEMBL3525975,CHEMBL3525933,Binding/Inhibitor,CID_656,Endothelin-1 receptor
CHEMBL3596088,CHEMBL3596128,Binding/Inhibitor,CID_657,EGFR Kinase
CHEMBL3627715,CHEMBL3627684,Binding/Inhibitor,CID_658,Histamine H2 receptor
CHEMBL3751692,CHEMBL3751678,Binding/Inhibitor,CID_660,Beta-2 adrenergic receptor
CHEMBL3785030,CHEMBL3785016,Binding/Inhibitor,CID_662,D(1B) dopamine receptor
CHEMBL3822357,CHEMBL3822454,Binding/Inhibitor,CID_663,Endothelin-1 receptor
CHEMBL3868587,CHEMBL3868588,Binding/Inhibitor,CID_667,EGFR Kinase
CHEMBL3994658,CHEMBL3994659,Binding/Inhibitor,CID_668,Histamine H2 receptor
CHEMBL4017464,CHEMBL4017465,Binding/Inhibitor,CID_669,Beta-2 adrenergic receptor
CHEMBL4041465,CHEMBL4041466,Binding/Inhibitor,CID_670,D(1B) dopamine receptor
CHEMBL4118122,CHEMBL4118123,Binding/Inhibitor,CID_671,Endothelin-1 receptor
CHEMBL4145445,CHEMBL4145446,Binding/Inhibitor,CID_672,EGFR Kinase
CHEMBL4184096,CHEMBL4184097,Binding/Inhibitor,CID_673,Histamine H2 receptor
CHEMBL4219077,CHEMBL4219078,Binding/Inhibitor,CID_674,Beta-2 adrenergic receptor
CHEMBL4257533,CHEMBL4257534,Binding/Inhibitor,CID_675,D(1B) dopamine receptor
CHEMBL4304836,CHEMBL4304837,Binding/Inhibitor,CID_677,Endothelin-1 receptor
CHEMBL4334514,CHEMBL4334515,Binding/Inhibitor,CID_679,EGFR Kinase
CHEMBL4359916,CHEMBL4359917,Binding/Inhibitor,CID_680,Histamine H2 receptor
CHEMBL4387702,CHEMBL4387703,Binding/Inhibitor,CID_681,Beta-2 adrenergic receptor
CHEMBL4406878,CHEMBL4406879,Binding/Inhibitor,CID_682,D(1B) dopamine receptor
CHEMBL4433251,CHEMBL4433252,Binding/Inhibitor,CID_683,Endothelin-1 receptor
CHEMBL4613313,CHEMBL4613314,Binding/Inhibitor,CID_684,EGFR Kinase
CHEMBL4665733,CHEMBL4665734,Binding/Inhibitor,CID_685,Histamine H2 receptor
CHEMBL4680372,CHEMBL4680373,Binding/Inhibitor,CID_686,Beta-2 adrenergic receptor
CHEMBL4715824,CHEMBL4715825,Binding/Inhibitor,CID_687,D(1B) dopamine receptor
CHEMBL4765306,CHEMBL4765307,Binding/Inhibitor,CID_688,Endothelin-1 receptor
CHEMBL4819089,CHEMBL4819090,Binding/Inhibitor,CID_689,EGFR Kinase
CHEMBL4840355,CHEMBL4840356,Binding/Inhibitor,CID_690,Histamine H2 receptor
CHEMBL5046265,CHEMBL5046266,Binding/Inhibitor,CID_691,Beta-2 adrenergic receptor
CHEMBL5113419,CHEMBL5113420,Binding/Inhibitor,CID_692,D(1B) dopamine receptor
CHEMBL5131523,CHEMBL5131524,Binding/Inhibitor,CID_693,Endothelin-1 receptor
CHEMBL5154733,CHEMBL5154734,Binding/Inhibitor,CID_694,EGFR Kinase
CHEMBL5230172,CHEMBL5230173,Binding/Inhibitor,CID_695,Histamine H2 receptor
CHEMBL5257073,CHEMBL5257074,Binding/Inhibitor,CID_696,Beta-2 adrenergic receptor
CHEMBL5331126,CHEMBL5331127,Binding/Inhibitor,CID_697,D(1B) dopamine receptor
CHEMBL5357022,CHEMBL5357023,Binding/Inhibitor,CID_698,Endothelin-1 receptor
CHEMBL5380854,CHEMBL5380855,Binding/Inhibitor,CID_699,EGFR Kinase
CHEMBL5518174,CHEMBL5518175,Binding/Inhibitor,CID_700,Histamine H2 receptor
CHEMBL5550126,CHEMBL5550127,Binding/Inhibitor,CID_701,Beta-2 adrenergic receptor
CHEMBL5614443,CHEMBL5614444,Binding/Inhibitor,CID_702,D(1B) dopamine receptor
CHEMBL5712903,CHEMBL5712904,Binding/Inhibitor,CID_703,Endothelin-1 receptor
CHEMBL6071168,CHEMBL6071169,Binding/Inhibitor,CID_704,EGFR Kinase
CHEMBL6096708,CHEMBL6096709,Binding/Inhibitor,CID_705,Histamine H2 receptor
CHEMBL6127103,CHEMBL6127104,Binding/Inhibitor,CID_706,Beta-2 adrenergic receptor
CHEMBL23943,CHEMBL23668,Binding/Inhibitor,CID_707,D(1B) dopamine receptor
CHEMBL44057,CHEMBL44779,Binding/Inhibitor,CID_708,Endothelin-1 receptor
CHEMBL1229920,CHEMBL1229937,Binding/Inhibitor,CID_709,EGFR Kinase
CHEMBL1369018,CHEMBL1369019,Binding/Inhibitor,CID_710,Histamine H2 receptor
CHEMBL1610837,CHEMBL1610838,Binding/Inhibitor,CID_711,Beta-2 adrenergic receptor
CHEMBL2079410,CHEMBL2079411,Binding/Inhibitor,CID_712,D(1B) dopamine receptor
CHEMBL2105402,CHEMBL2105403,Binding/Inhibitor,CID_713,Endothelin-1 receptor
CHEMBL3986629,CHEMBL3986630,Binding/Inhibitor,CID_714,EGFR Kinase
CHEMBL4645470,CHEMBL4645471,Binding/Inhibitor,CID_715,Histamine H2 receptor
CHEMBL5313671,CHEMBL5313672,Binding/Inhibitor,CID_716,Beta-2 adrenergic receptor
CHEMBL267014,CHEMBL10188,Binding/Inhibitor,CID_717,D(1B) dopamine receptor
CHEMBL2074,CHEMBL1971,Binding/Inhibitor,CID_718,Endothelin-1 receptor
